instance,n,m,A,B,ratio,base,best,mean,std,known_alpha,gap,relative_gap
MANN_a9,45,72,1,3.5,3.5,30,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,40,16,15.92,0.2712931993250107,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,50,16,15.9,0.3,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,75,16,15.81,0.41701318923986097,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,100,16,15.66,0.494368283772331,16,0,0.0
MANN_a9,45,72,1,4,4,3,16,15.97,0.17058722109231986,16,0,0.0
MANN_a9,45,72,1,4,4,4,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4,4,5,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4,4,6,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4,4,7,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4,4,8,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4,4,10,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4,4,12,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4,4,15,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,4,4,18,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,4,4,20,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,4,4,25,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,4,4,30,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,4,4,40,16,15.92,0.2712931993250107,16,0,0.0
MANN_a9,45,72,1,4,4,50,16,15.9,0.3,16,0,0.0
MANN_a9,45,72,1,4,4,75,16,15.81,0.41701318923986097,16,0,0.0
MANN_a9,45,72,1,4,4,100,16,15.66,0.494368283772331,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,3,16,15.97,0.17058722109231986,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,4,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,5,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,6,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,7,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,8,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,10,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,12,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,15,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,18,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,20,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,25,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,30,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,40,16,15.92,0.2712931993250107,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,50,16,15.9,0.3,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,75,16,15.81,0.41701318923986097,16,0,0.0
MANN_a9,45,72,1,4.5,4.5,100,16,15.66,0.494368283772331,16,0,0.0
MANN_a9,45,72,1,5,5,3,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,5,5,4,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,5,5,5,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,5,5,6,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,5,5,7,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,5,5,8,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,5,5,10,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,5,5,12,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,5,5,15,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,5,5,18,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,5,5,20,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,5,5,25,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,5,5,30,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,5,5,40,16,15.92,0.2712931993250107,16,0,0.0
MANN_a9,45,72,1,5,5,50,16,15.9,0.3,16,0,0.0
MANN_a9,45,72,1,5,5,75,16,15.81,0.41701318923986097,16,0,0.0
MANN_a9,45,72,1,5,5,100,16,15.66,0.494368283772331,16,0,0.0
brock200-4,200,6811,1,1.0,1.0,3,12,2.9,2.224859546128699,17,5,0.29411764705882354
brock200-4,200,6811,1,1.0,1.0,4,13,3.86,3.3317262792732536,17,4,0.23529411764705882
brock200-4,200,6811,1,1.0,1.0,5,14,5.86,4.36811172018299,17,3,0.17647058823529413
brock200-4,200,6811,1,1.0,1.0,6,14,8.4,4.123105625617661,17,3,0.17647058823529413
brock200-4,200,6811,1,1.0,1.0,7,15,9.74,3.9284093473058537,17,2,0.11764705882352941
brock200-4,200,6811,1,1.0,1.0,8,15,10.86,3.2404320699561038,17,2,0.11764705882352941
brock200-4,200,6811,1,1.0,1.0,10,15,12.49,1.9467665499489144,17,2,0.11764705882352941
brock200-4,200,6811,1,1.0,1.0,12,15,12.86,2.029876843554801,17,2,0.11764705882352941
brock200-4,200,6811,1,1.0,1.0,15,16,13.42,1.1240996397117118,17,1,0.058823529411764705
brock200-4,200,6811,1,1.0,1.0,18,16,13.49,1.0148398888494676,17,1,0.058823529411764705
brock200-4,200,6811,1,1.0,1.0,20,16,13.64,0.8662563131083085,17,1,0.058823529411764705
brock200-4,200,6811,1,1.0,1.0,25,16,13.64,0.9221713506718803,17,1,0.058823529411764705
brock200-4,200,6811,1,1.0,1.0,30,16,13.73,0.9365361712181757,17,1,0.058823529411764705
brock200-4,200,6811,1,1.0,1.0,40,16,13.86,0.8720091742636656,17,1,0.058823529411764705
brock200-4,200,6811,1,1.0,1.0,50,16,13.78,0.8435638683585257,17,1,0.058823529411764705
